0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:40:06 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:40:35 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:40:35 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:40:35 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:41:47 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:41:47 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:41:47 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:43:53 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:43:53 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:43:53 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:45:21 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:45:21 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:45:21 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:45:34 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:45:34 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:45:34 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:46:54 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:46:54 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:46:54 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:47:02 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:47:02 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:47:02 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:48:27 -0300] "GET /RuteAr/rest/dificultades HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:48:27 -0300] "GET /RuteAr/rest/actividades HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:48:27 -0300] "GET /RuteAr/rest/rutas HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:48:35 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:48:35 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:48:35 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:48:35 -0300] "GET /RuteAr/rest/realizadas/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:48:35 -0300] "OPTIONS /RuteAr/rest/rutas HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:48:35 -0300] "PUT /RuteAr/rest/rutas HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:56:57 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:56:57 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:56:57 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:56:57 -0300] "GET /RuteAr/rest/realizadas/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:56:57 -0300] "OPTIONS /RuteAr/rest/rutas HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:56:57 -0300] "PUT /RuteAr/rest/rutas HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:58:27 -0300] "GET /RuteAr/rest/rutas/1 HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:58:27 -0300] "GET /RuteAr/rest/notas/ruta/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Sep/2018:12:58:27 -0300] "GET /RuteAr/rest/puntajes/todos/1 HTTP/1.1" 200 2
